"17,50,999.12,0.000,0.233","0,0,0.00,0.000,0.000","3,5,998.88,-1.571,0.096","7,11,943.03,-0.785,0.108","10,17,999.60,-1.571,0.117","12,23,500.93,-1.571,0.125","13,28,1000.00,-1.571,0.135","13,34,111.13,-1.571,0.155","13,41,666.87,-1.571,0.186","15,45,249.91,-1.571,0.207","17,50,999.12,0.000,0.233"
"-16,-51,176.77,2.356,0.286","0,0,0.00,0.000,0.000","0,-5,500.10,1.571,0.082","-2,-9,354.00,2.356,0.096","-4,-16,559.12,2.034,0.108","-6,-21,1000.00,1.571,0.115","-9,-29,707.50,2.356,0.122","-10,-34,1000.00,1.571,0.127","-12,-41,1000.00,1.571,0.139","-14,-46,125.00,1.571,0.159","-16,-51,176.77,2.356,0.286"
"104,-156,67.35,0.785,0.439","0,0,0.00,0.000,0.000","7,-16,1413.98,0.785,0.099","19,-39,499.98,1.571,0.120","33,-64,2236.07,1.107,0.144","43,-84,1999.67,1.571,0.168","52,-103,471.29,0.785,0.200","62,-122,1406.60,0.785,0.231","77,-137,282.88,0.785,0.275","92,-144,111.15,0.000,0.339","104,-156,67.35,0.785,0.439"
"142,79,707.07,-0.785,0.407","0,0,0.00,0.000,0.000","19,0,1998.72,0.000,0.091","44,14,1115.19,-1.107,0.111","66,24,1000.00,0.000,0.135","76,37,997.81,-1.571,0.176","90,45,499.98,-1.571,0.216","104,55,999.83,-1.571,0.253","113,63,111.12,-1.571,0.294","126,72,470.95,-0.785,0.360","142,79,707.07,-0.785,0.407"
"42,108,58.82,-1.571,0.370","0,0,0.00,0.000,0.000","5,10,2000.00,-1.571,0.087","11,24,2236.07,-1.107,0.108","16,37,499.98,-1.571,0.125","21,47,498.97,0.000,0.142","26,61,249.91,-1.571,0.168","31,73,470.80,-0.785,0.195","34,84,1414.21,-0.785,0.230","41,95,201.94,-0.785,0.291","42,108,58.82,-1.571,0.370"
"-197,-108,42.86,2.356,0.445","0,0,0.00,0.000,0.000","-16,-17,1413.98,2.356,0.092","-41,-34,1000.00,1.571,0.109","-68,-53,2234.63,2.678,0.125","-94,-70,499.26,3.142,0.143","-118,-84,470.80,2.356,0.165","-138,-93,705.39,2.356,0.278","-158,-99,1000.00,3.142,0.317","-179,-102,372.72,2.678,0.370","-197,-108,42.86,2.356,0.445"
"61,181,142.91,-1.571,0.322","0,0,0.00,0.000,0.000","9,15,1415.67,-0.785,0.097","19,35,1000.00,-1.571,0.112","29,59,2000.00,-1.571,0.127","40,82,2236.07,-1.107,0.141","44,103,1000.00,-1.571,0.157","48,121,999.83,-1.571,0.174","54,144,745.29,-1.107,0.200","61,163,124.94,-1.571,0.229","61,181,142.91,-1.571,0.322"
"-13,117,333.54,-1.571,0.442","0,0,0.00,0.000,0.000","1,12,499.80,-1.571,0.123","-2,25,332.99,-1.571,0.140","-3,38,500.93,-1.571,0.156","-5,53,667.35,-1.571,0.174","-5,68,667.56,-1.571,0.205","-7,81,499.53,-1.571,0.263","-8,94,1001.98,-1.571,0.330","-12,104,333.41,-1.571,0.367","-13,117,333.54,-1.571,0.442"
"155,-168,100.00,-1.571,0.522","0,0,0.00,0.000,0.000","12,-19,2236.07,0.464,0.085","29,-37,1412.97,0.785,0.101","52,-58,3589.55,0.588,0.117","84,-89,2828.43,0.785,0.132","113,-112,2828.43,0.785,0.147","132,-131,1413.98,0.785,0.164","130,-149,55.11,1.571,0.242","137,-164,471.78,0.785,0.402","155,-168,100.00,-1.571,0.522"
"163,-7,47.62,-1.571,0.412","0,0,0.00,0.000,0.000","10,0,999.36,0.000,0.090","28,0,2000.00,0.000,0.104","49,-3,2236.07,0.464,0.115","81,-12,3161.75,0.322,0.127","105,-16,1000.79,0.000,0.138","128,-18,996.51,0.000,0.155","144,-18,1000.00,0.000,0.176","155,-10,166.70,0.000,0.237","163,-7,47.62,-1.571,0.412"
"206,-179,124.93,3.142,0.495","0,0,0.00,0.000,0.000","29,-17,2236.07,0.464,0.091","81,-51,5000.00,0.927,0.109","158,-94,4472.14,0.464,0.127","209,-125,1414.21,0.785,0.145","232,-146,499.98,1.571,0.167","248,-157,235.76,0.785,0.221","254,-173,166.66,3.142,0.338","232,-174,999.60,3.142,0.381","206,-179,124.93,3.142,0.495"
"81,163,125.00,-1.571,0.395","0,0,0.00,0.000,0.000","13,16,2000.00,-1.571,0.098","26,36,470.91,-0.785,0.118","37,59,1413.31,-0.785,0.134","49,82,2817.21,-0.785,0.153","59,101,1411.29,-0.785,0.176","67,117,709.02,-0.785,0.201","73,132,1000.00,0.000,0.230","76,149,499.86,-1.571,0.278","81,163,125.00,-1.571,0.395"
"179,-102,124.98,3.142,0.419","0,0,0.00,0.000,0.000","13,-15,2235.70,0.464,0.091","38,-37,3162.28,0.322,0.108","80,-69,2828.43,0.785,0.126","122,-100,1798.19,0.588,0.145","149,-122,1414.21,0.785,0.164","169,-135,447.44,0.464,0.192","183,-139,199.99,-1.571,0.306","185,-118,249.74,-1.571,0.352","179,-102,124.98,3.142,0.419"
"-29,-37,50.70,3.142,0.165","0,0,0.00,0.000,0.000","-2,-5,745.29,2.678,0.061","-5,-10,1118.78,2.678,0.071","-9,-16,2236.07,2.034,0.076","-13,-21,1116.12,2.678,0.083","-17,-26,1414.21,2.356,0.088","-19,-28,999.36,3.142,0.093","-22,-31,999.83,3.142,0.099","-25,-33,249.65,3.142,0.106","-29,-37,50.70,3.142,0.165"
"54,-134,332.96,1.571,0.388","0,0,0.00,0.000,0.000","6,-11,500.10,0.000,0.083","12,-26,2000.00,1.571,0.096","24,-47,3162.28,1.249,0.110","35,-64,2000.00,1.571,0.122","47,-80,1414.21,0.785,0.141","51,-93,2000.00,1.571,0.160","55,-105,200.04,1.571,0.203","55,-119,399.80,1.571,0.342","54,-134,332.96,1.571,0.388"
"-39,-45,94.30,2.356,0.180","0,0,0.00,0.000,0.000","-1,-4,332.78,1.571,0.101","-3,-10,500.10,1.571,0.110","-8,-18,651.80,2.034,0.118","-12,-23,1999.19,1.571,0.124","-16,-27,708.76,2.356,0.130","-21,-32,1413.98,2.356,0.135","-27,-36,744.23,2.678,0.142","-32,-41,471.59,2.356,0.150","-39,-45,94.30,2.356,0.180"
